loan_id,customer_id,customer_name,product_code,product_name,province,branch_id,origination_date,maturity_date,original_amount,current_balance,interest_rate,risk_grade,credit_score,property_value,ltv_ratio,approval_officer
LN-0000014,CUST-003944,Susan Ahmed,LOC,Line of Credit,ON,BR-013,2020-02-06,2025-01-10,7276.47,740.17,12.4964,BB,651,0,0,G. Brown
LN-0000015,CUST-001556,Nancy Miller,LOC,Line of Credit,ON,BR-002,2024-02-07,2029-01-11,17836.22,12120.82,10.983,AAA,799,0,0,H. Singh
LN-0000016,CUST-001927,Wei Brown,AUTO,Auto Loan,BC,BR-019,2024-05-06,2030-04-05,42685.27,29212.79,8.4845,BB,624,0,0,D. Patel
LN-0000017,CUST-002458,Carlos Hernandez,MTG-FIX,Fixed Rate Mortgage,AB,BR-025,2025-05-04,2049-12-24,465947.9,409556.0,6.3694,BBB,678,593494.97,69.01,J. Taylor
LN-0000018,CUST-001293,Yuki Sharma,STUDENT,Student Loan,ON,BR-018,2020-02-14,2029-12-23,9029.34,3565.05,4.746,BBB,688,0,0,D. Patel
LN-0000019,CUST-000877,Elizabeth Rodriguez,PL-SEC,Secured Personal Loan,AB,BR-010,2019-02-02,2024-01-07,35053.84,3632.81,9.773,CCC,576,0,0,I. Lopez
LN-0000020,CUST-000362,James Hernandez,AUTO,Auto Loan,AB,BR-025,2021-12-17,2027-11-16,42851.59,16495.78,6.3789,A,727,0,0,I. Lopez
LN-0000021,CUST-001214,Mohammed Jones,MTG-FIX,Fixed Rate Mortgage,NB,BR-002,2023-10-18,2048-06-08,492634.81,472951.79,4.7237,AA,803,725288.94,65.21,J. Taylor
LN-0000022,CUST-001940,RICHARD SANTOS,MTG-VAR,Variable Rate Mortgage,MB,BR-006,2023-01-05,2047-08-27,226045.92,175577.06,5.4991,BB,629,258628.65,67.89,B. Chen
LN-0000023,CUST-000318,Amara Davis,LOC,Line of Credit,ON,BR-007,2023-08-14,2028-07-18,41100.58,24289.75,11.8203,BB,675,0,0,I. Lopez
LN-0000024,CUST-004174,Wei Kim,PL-UNSEC,Unsecured Personal Loan,BC,BR-018,2021-07-21,2025-06-30,9356.48,869.87,12.7902,A,751,0,0,G. Brown
LN-0000025,CUST-001558,Sarah Johnson,MTG-VAR,Variable Rate Mortgage,ON,BR-023,2021-12-23,2046-08-14,122954.32,96085.24,6.1931,B,577,179542.96,53.52,E. Martin
LN-0000026,CUST-002461,Lisa Kim,HELOC,Home Equity Line of Credit,BC,BR-014,2021-03-18,2031-01-25,125160.9,67384.38,6.1749,BB,627,156077.71,43.17,J. Taylor
LN-0000027,CUST-002640,Carlos Thomas,MTG-VAR,Variable Rate Mortgage,AB,BR-015,2023-04-02,2047-11-22,506390.77,444424.12,6.8056,BBB,688,812091.17,54.73,D. Patel
LN-0000028,CUST-001925,Lisa Davis,PL-SEC,Secured Personal Loan,BC,BR-007,2020-11-26,2025-10-31,34648.28,0,8.4189,BB,672,0,0,I. Lopez
LN-0000029,CUST-000046,David Nguyen,MTG-FIX,Fixed Rate Mortgage,ON,BR-014,2019-10-26,2044-06-16,418791.32,308217.19,6.2723,CCC,535,696071.37,44.28,F. Kim
LN-0000030,CUST-003626,Mohammed Sharma,MTG-FIX,Fixed Rate Mortgage,QC,BR-018,2025-04-02,2049-11-22,274438.8,253964.29,6.1967,BBB,708,415153.2,61.17,J. Taylor
LN-0000031,CUST-001921,Karen Hernandez,HELOC,Home Equity Line of Credit,ON,BR-011,2021-10-09,2031-08-18,255962.29,155642.82,6.6933,B,574,320056.6,48.63,E. Martin
LN-0000032,CUST-003442,Priya Ali,LOC,Line of Credit,ON,BR-025,2020-09-17,2025-08-22,36788.86,3426.96,7.8211,AA,803,0,0,F. Kim
LN-0000033,CUST-001807,Raj Davis,AUTO,Auto Loan,AB,BR-009,2023-04-08,2029-03-07,41003.68,22156.68,8.7996,B,617,0,0,C. Williams
LN-0000034,CUST-000688,Mohammed Jones,HELOC,Home Equity Line of Credit,ON,BR-015,2023-07-15,2033-05-23,224149.88,181602.21,8.1013,A,746,286618.38,63.36,B. Chen
LN-0000035,CUST-000427,Ashley Davis,MTG-FIX,Fixed Rate Mortgage,ON,BR-021,2022-10-14,2047-06-05,632860.8,559040.71,5.2583,A,711,779233.13,71.74,C. Williams
LN-0000036,CUST-002100,Donna Garcia,MTG-FIX,Fixed Rate Mortgage,NS,BR-020,2021-10-09,2046-05-31,239552.48,177571.48,4.5408,AAA,850,382495.97,46.42,B. Chen
LN-0000037,CUST-001625,Michael Martin,AUTO,Auto Loan,QC,BR-023,2022-06-28,2028-05-27,17026.42,7184.83,5.5899,AA,795,0,0,A. Sharma
LN-0000038,CUST-002796,James Ahmed,PL-UNSEC,Unsecured Personal Loan,ON,BR-014,2020-05-10,2024-04-19,28275.5,2426.64,12.1786,BBB,702,0,0,C. Williams
LN-0000039,CUST-003809,Mohammed Sharma,PL-UNSEC,Unsecured Personal Loan,ON,BR-024,2024-02-27,2028-02-06,25341.19,15576.42,11.3307,CCC,550,0,0,D. Patel
LN-0000040,CUST-000236,Raj Ahmed,AUTO,Auto Loan,ON,BR-011,2022-02-16,2028-01-16,67306.03,0,6.3535,A,731,0,0,B. Chen
LN-0000041,CUST-003901,Raj Thomas,MTG-FIX,Fixed Rate Mortgage,ON,BR-001,2022-02-05,2046-09-27,489053.72,371445.76,5.5333,BB,668,771240.19,48.16,E. Martin
LN-0000042,CUST-002060,Thomas Brown,MTG-FIX,Fixed Rate Mortgage,ON,BR-024,2023-02-20,2047-10-12,431282.34,361887.75,5.5618,BBB,699,668840.67,54.11,F. Kim
LN-0000043,CUST-002427,Thomas Lopez,MTG-FIX,Fixed Rate Mortgage,ON,BR-006,2021-01-28,2045-09-19,234078.68,172425.25,5.9772,BBB,676,278194.84,61.98,F. Kim
LN-0000044,CUST-003846,Amara Thomas,MTG-VAR,Variable Rate Mortgage,AB,BR-011,2019-08-12,2044-04-02,432015.38,285189.53,6.3948,AA,750,575312.89,49.57,J. Taylor
LN-0000045,CUST-002034,Linda Jackson,MTG-FIX,Fixed Rate Mortgage,ON,BR-025,2019-09-25,2044-05-16,380495.21,281874.01,4.6482,B,589,656237.44,42.95,I. Lopez
LN-0000046,CUST-000813,Susan Patel,HELOC,Home Equity Line of Credit,AB,BR-007,2023-04-08,2033-02-14,148891.48,115101.25,7.1068,BBB,709,168041.85,68.5,C. Williams
LN-0000047,CUST-003720,Michael Kim,MTG-VAR,Variable Rate Mortgage,ON,BR-008,2020-10-03,2045-05-25,101605.43,78810.82,5.901,A,728,127637.69,61.75,D. Patel
LN-0000048,CUST-002520,Nancy Thomas,LOC,Line of Credit,QC,BR-004,2021-03-21,2026-02-23,24131.25,2363.72,10.2228,BBB,680,0,0,I. Lopez
LN-0000049,CUST-000170,Karen Martin,HELOC,Home Equity Line of Credit,ON,BR-002,2025-01-20,2034-11-29,160793.69,129372.55,6.2011,A,711,276294.71,46.82,E. Martin
LN-0000050,CUST-002631,David Ahmed,PL-UNSEC,Unsecured Personal Loan,ON,BR-006,2022-02-13,2026-01-23,7989.14,780.5,12.3046,BBB,691,0,0,D. Patel
LN-0000051,CUST-000010,carlos anderson,MTG-VAR,Variable Rate Mortgage,AB,BR-002,2025-03-03,2049-10-23,122018.28,0,5.1761,A,742,145480.76,0.0,D. Patel
LN-0000052,CUST-001961,Richard Martinez,MTG-FIX,Fixed Rate Mortgage,ON,BR-018,07/31/2019,2044-03-21,242490.77,189056.1,5.5984,BB,621,272277.56,69.44,C. Williams
LN-0000053,CUST-003953,Amara Davis,MTG-FIX,Fixed Rate Mortgage,BC,BR-015,2020-04-09,2044-11-29,423013.53,335801.15,4.7349,A,727,608283.55,55.2,G. Brown
LN-0000054,CUST-002318,Lisa Sharma,AUTO,Auto Loan,ON,BR-019,2020-07-13,2026-06-12,66161.75,8768.65,6.4669,B,570,0,0,I. Lopez
LN-0000055,CUST-003138,Thomas Ahmed,AUTO,Auto Loan,AB,BR-025,2024-06-06,2030-05-06,32433.06,24586.6,7.4317,B,585,0,0,E. Martin
LN-0000056,CUST-002720,David Ahmed,HELOC,Home Equity Line of Credit,ON,BR-015,2023-04-11,2033-02-17,131171.66,0,7.6592,BBB,672,220758.51,0.0,C. Williams
LN-0000057,CUST-003114,Margaret Patel,MTG-FIX,Fixed Rate Mortgage,SK,BR-023,2020-09-24,2045-05-16,152379.77,110033.83,6.0631,AAA,844,229143.22,48.02,H. Singh
LN-0000058,CUST-000824,Yuki Garcia,LOC,Line of Credit,BC,BR-023,2021-08-19,2026-07-24,33402.25,6348.88,12.1046,BBB,710,0,0,J. Taylor
LN-0000059,CUST-003134,Jessica Taylor,MTG-VAR,Variable Rate Mortgage,ON,BR-019,2023-01-08,2047-08-30,324904.65,277303.3,5.2911,A,715,425645.53,65.15,D. Patel
LN-0000060,CUST-002451,MOHAMMED SINGH,MTG-FIX,Fixed Rate Mortgage,BC,BR-009,2019-02-08,2043-09-30,729235.97,485541.22,5.4305,A,732,814171.94,59.64,H. Singh
LN-0000061,CUST-000402,Raj Sharma,HELOC,Home Equity Line of Credit,ON,BR-010,2020-03-12,2030-01-19,90231.57,38722.0,7.4298,CCC,537,163216.31,23.72,J. Taylor
LN-0000062,CUST-000323,Lisa Santos,PL-UNSEC,Unsecured Personal Loan,ON,BR-015,2021-02-17,2025-01-27,22489.41,2235.86,12.9055,BB,677,0,0,E. Martin
LN-0000063,CUST-001348,sarah das,MTG-FIX,Fixed Rate Mortgage,ON,BR-016,2022-08-31,2047-04-22,623236.61,0,4.8513,AA,782,716594.18,0.0,A. Sharma
LN-0000064,CUST-002997,Jennifer Santos,STUDENT,Student Loan,ON,BR-013,2024-04-02,2034-02-09,57959.13,51784.78,4.4926,B,624,0,0,A. Sharma
LN-0000065,CUST-002688,Thomas Patel,MTG-FIX,Fixed Rate Mortgage,BC,BR-003,2021-12-09,2046-07-31,509192.06,448580.66,6.1448,BBB,709,592440.5,75.72,J. Taylor
LN-0000066,CUST-001112,Priya Thomas,AUTO,Auto Loan,BC,BR-012,2020-04-22,2026-03-22,19085.51,1738.45,8.8119,BB,654,0,0,C. Williams
LN-0000067,CUST-001780,Yuki Thomas,PL-SEC,Secured Personal Loan,QC,BR-008,2020-09-24,2025-08-29,44843.62,4559.42,10.2746,B,593,0,0,G. Brown
LN-0000068,CUST-000175,Patricia Santos,LOC,Line of Credit,ON,BR-011,2023-01-09,2027-12-14,7724.75,3735.33,8.8794,BBB,683,0,0,B. Chen
LN-0000069,CUST-001186,William Jackson,MTG-FIX,Fixed Rate Mortgage,ON,BR-009,2025-03-20,2049-11-09,245010.16,246276.1,4.9319,BBB,687,288097.39,85.48,C. Williams
LN-0000070,CUST-000932,Michael Taylor,PL-UNSEC,Unsecured Personal Loan,ON,BR-015,2023-01-07,2026-12-17,28069.49,8416.25,10.0466,B,596,0,0,D. Patel
LN-0000071,CUST-003291,Mohammed Kim,PL-UNSEC,Unsecured Personal Loan,BC,BR-004,2019-06-27,2023-06-06,25999.02,2552.53,14.4069,AA,780,0,0,I. Lopez
LN-0000072,CUST-004142,Mohammed Brown,HELOC,Home Equity Line of Credit,SK,BR-023,2020-08-30,2030-07-09,43062.61,20700.7,6.6875,AA,783,65924.18,31.4,C. Williams
LN-0000073,CUST-002561,Sarah Lopez,MTG-FIX,Fixed Rate Mortgage,AB,BR-005,2021-05-30,2046-01-19,401048.96,309450.2,6.2762,B,576,608210.3,50.88,H. Singh
LN-0000074,CUST-001002,Fatima Lopez,PL-SEC,Secured Personal Loan,BC,BR-022,2023-11-04,2028-10-08,9345.4,5955.08,10.694,AA,771,0,0,F. Kim
LN-0000075,CUST-000887,Ashley Ahmed,STUDENT,Student Loan,BC,BR-018,2022-03-24,2032-01-31,38022.56,23894.67,5.2308,B,624,0,0,D. Patel
LN-0000076,CUST-002191,Mary Garcia,MTG-VAR,Variable Rate Mortgage,QC,BR-009,2025-04-16,2049-12-06,684727.96,655832.23,6.6369,BBB,712,814850.38,80.48,I. Lopez
LN-0000077,CUST-003440,Carlos Hernandez,PL-SEC,Secured Personal Loan,ON,BR-006,2020-08-09,2025-07-14,30484.45,2677.68,9.0039,A,734,0,0,H. Singh
LN-0000078,CUST-003622,Fatima Rodriguez,MTG-VAR,Variable Rate Mortgage,AB,BR-007,2019-12-14,2044-08-04,630005.31,484273.33,5.3112,BB,662,902062.78,53.69,D. Patel
LN-0000079,CUST-001731,William Nguyen,PL-UNSEC,Unsecured Personal Loan,ON,BR-009,2024-06-16,2028-05-26,19388.83,12014.55,10.5047,A,770,0,0,G. Brown
LN-0000080,CUST-003574,Mary Thomas,MTG-VAR,Variable Rate Mortgage,ON,BR-003,2020-06-13,2045-02-02,328124.47,245716.82,6.4073,BBB,725,405234.79,60.64,F. Kim
LN-0000081,CUST-002965,Jennifer Anderson,LOC,Line of Credit,BC,BR-004,2023-09-07,2028-08-11,18028.18,11232.39,9.5252,BBB,714,0,0,D. Patel
LN-0000082,CUST-002863,Ashley Chen,MTG-FIX,Fixed Rate Mortgage,AB,BR-021,2022-06-24,2047-02-13,622063.38,544694.43,4.9431,BBB,702,1006792.87,54.1,F. Kim
LN-0000083,CUST-003678,Margaret Ahmed,PL-UNSEC,Unsecured Personal Loan,ON,BR-021,2020-09-18,2024-08-28,27087.1,2398.37,12.7608,AA,786,0,0,C. Williams
LN-0000084,CUST-000740,Priya Thomas,MTG-VAR,Variable Rate Mortgage,BC,BR-019,2022-01-30,2046-09-21,454851.85,336115.57,5.7039,BBB,723,699258.97,48.07,A. Sharma
LN-0000085,CUST-002814,Jennifer Moore,AUTO,Auto Loan,QC,BR-021,2025-05-30,2031-04-29,52369.43,47341.72,6.6253,B,627,0,0,F. Kim
LN-0000086,CUST-002742,Michael Hernandez,MTG-FIX,Fixed Rate Mortgage,ON,BR-004,2024-11-11,2049-07-03,526863.78,526770.79,5.2278,A,713,637672.5,82.61,B. Chen
LN-0000087,CUST-001057,Jennifer Martinez,AUTO,Auto Loan,ON,BR-018,2020-09-07,2026-08-07,31668.53,4378.13,7.5396,A,735,0,0,J. Taylor
LN-0000088,CUST-003984,Joseph Davis,MTG-VAR,Variable Rate Mortgage,QC,BR-005,11/26/2024,2049-07-18,156071.78,143928.63,6.3409,BB,633,233079.91,61.75,C. Williams
LN-0000089,CUST-001482,Richard Chen,MTG-FIX,Fixed Rate Mortgage,ON,BR-015,2025-01-19,2049-09-10,684583.88,572387.95,6.2674,BB,644,1133438.66,50.5,B. Chen
LN-0000090,CUST-001590,Donna Kim,MTG-FIX,Fixed Rate Mortgage,ON,BR-019,2022-03-13,2046-11-02,626673.82,0,6.0676,BB,671,760038.01,0.0,B. Chen
LN-0000091,CUST-003041,David Singh,STUDENT,Student Loan,BC,BR-017,2024-11-30,2034-10-09,28026.35,23036.48,4.5672,A,740,0,0,E. Martin
LN-0000092,CUST-003399,Patricia Wilson,LOC,Line of Credit,ON,BR-017,2024-10-03,2029-09-07,11630.69,9851.37,9.6874,BB,621,0,0,I. Lopez
LN-0000093,CUST-001137,Amara Thomas,MTG-VAR,Variable Rate Mortgage,ON,BR-020,2022-07-29,2047-03-20,658495.54,564296.88,6.6784,AA,808,783534.71,72.02,C. Williams
LN-0000094,CUST-003745,Michael Brown,MTG-FIX,Fixed Rate Mortgage,ON,BR-016,2025-02-25,2049-10-17,758158.16,693811.1,5.7178,A,713,1196864.13,57.97,C. Williams
LN-0000095,CUST-002955,Michael Moore,AUTO,Auto Loan,ON,BR-018,2020-08-11,2026-07-11,28932.68,3859.52,5.5055,BBB,675,0,0,I. Lopez
LN-0000096,CUST-000850,Sandra Jones,AUTO,Auto Loan,NB,BR-002,2024-04-09,2030-03-09,12829.74,9062.13,6.8541,BBB,685,0,0,C. Williams
LN-0000097,CUST-001635,ROBERT HERNANDEZ,MTG-VAR,Variable Rate Mortgage,ON,BR-010,2024-03-18,2048-11-07,688491.51,574240.63,5.9571,BBB,682,1217853.0,47.15,B. Chen
LN-0000098,CUST-003580,Wei Chen,AUTO,Auto Loan,NB,BR-015,2021-02-21,2027-01-21,28597.21,5769.72,8.5175,BBB,693,0,0,F. Kim
LN-0000099,CUST-001479,Nancy Hernandez,LOC,Line of Credit,ON,BR-004,2024-07-30,2029-07-04,21530.61,15149.04,11.4865,CCC,558,0,0,D. Patel
LN-0000100,CUST-000470,Michael Kim,MTG-FIX,Fixed Rate Mortgage,AB,BR-021,2023-10-12,2048-06-02,216651.34,187924.08,5.3878,A,727,279978.48,67.12,E. Martin
LN-0000101,CUST-003137,Robert Lee,HELOC,Home Equity Line of Credit,BC,BR-005,2019-05-08,2029-03-16,64264.35,23208.2,7.5189,BB,661,94755.13,24.49,J. Taylor
LN-0000102,CUST-004089,Priya Das,PL-SEC,Secured Personal Loan,NS,BR-018,2025-06-08,2030-05-13,11196.28,9738.18,8.8347,A,721,0,0,F. Kim
LN-0000103,CUST-000720,Margaret Kim,MTG-FIX,Fixed Rate Mortgage,QC,BR-012,2022-03-15,2046-11-04,585786.45,448031.34,6.4973,BB,677,732526.56,61.16,G. Brown
LN-0000104,CUST-001138,Jessica Santos,PL-SEC,Secured Personal Loan,BC,BR-016,2020-10-07,2025-09-11,37031.41,3619.97,11.6366,A,722,0,0,E. Martin
LN-0000105,CUST-000605,William Hernandez,MTG-FIX,Fixed Rate Mortgage,BC,BR-021,2025-03-09,2049-10-29,190839.86,161502.1,6.2685,A,759,275262.34,58.67,F. Kim
LN-0000106,CUST-001327,Margaret Das,MTG-FIX,Fixed Rate Mortgage,BC,BR-023,2025-03-08,2049-10-28,547855.75,560311.59,4.8639,BBB,679,834581.61,67.14,A. Sharma
LN-0000107,CUST-001382,Elizabeth Garcia,MTG-FIX,Fixed Rate Mortgage,NS,BR-022,2019-11-20,2044-07-11,275423.72,202394.79,5.7701,BBB,675,379423.46,53.34,E. Martin
LN-0000108,CUST-003413,Mary Taylor,AUTO,Auto Loan,SK,BR-021,2019-06-18,2025-05-17,63640.36,0,5.5993,A,723,0,0,F. Kim
LN-0000109,CUST-001177,Margaret Ahmed,AUTO,Auto Loan,AB,BR-023,2023-07-22,2029-06-20,29333.2,16247.77,5.7554,A,731,0,0,C. Williams
LN-0000110,CUST-003147,Fatima Davis,MTG-VAR,Variable Rate Mortgage,NB,BR-006,2023-02-26,2047-10-18,408988.08,329937.28,5.2124,A,716,720414.9,45.8,H. Singh
LN-0000111,CUST-004141,carlos davis,PL-UNSEC,Unsecured Personal Loan,SK,BR-007,2020-10-14,2024-09-23,18442.76,1751.6,11.8457,BB,645,0,0,J. Taylor
LN-0000112,CUST-002998,Robert Wilson,AUTO,Auto Loan,ON,BR-002,2024-04-11,2030-03-11,28573.64,19045.35,5.5286,A,735,0,0,J. Taylor
LN-0000113,CUST-003227,Donna Santos,AUTO,Auto Loan,ON,BR-011,2024-08-27,2030-07-27,39273.03,33035.92,7.4245,BBB,676,0,0,G. Brown
LN-0000114,CUST-004224,William Hernandez,AUTO,Auto Loan,ON,BR-020,2023-07-03,2029-06-01,42505.06,23636.96,5.6586,AA,759,0,0,E. Martin
LN-0000115,CUST-003413,Lisa Santos,MTG-VAR,Variable Rate Mortgage,ON,BR-024,2022-10-09,2047-05-31,404388.99,338283.63,6.0194,BBB,691,514599.64,65.74,G. Brown
LN-0000116,CUST-003115,Elizabeth Sharma,LOC,Line of Credit,AB,BR-022,2025-06-27,2030-06-01,30993.55,28863.02,11.107,BBB,719,0,0,C. Williams
LN-0000117,CUST-000511,William Moore,MTG-FIX,Fixed Rate Mortgage,BC,BR-007,2023-12-12,2048-08-02,319584.74,293712.07,4.8029,BB,674,395749.48,74.22,F. Kim
LN-0000118,CUST-002166,Amara Miller,AUTO,Auto Loan,NB,BR-008,2020-12-10,2026-11-09,39878.13,7686.08,7.3659,BBB,714,0,0,J. Taylor
LN-0000119,CUST-003111,Wei Sharma,MTG-VAR,Variable Rate Mortgage,ON,BR-012,2022-03-29,2046-11-18,522940.56,426693.88,6.3805,B,588,882367.88,48.36,H. Singh
LN-0000120,CUST-002226,william brown,STUDENT,Student Loan,QC,BR-020,2019-11-20,2029-09-28,24049.99,8959.41,5.5483,A,769,0,0,G. Brown
LN-0000121,CUST-001127,James Jackson,PL-SEC,Secured Personal Loan,ON,BR-006,2021-07-13,2026-06-17,33707.51,0,7.2625,AA,799,0,0,J. Taylor
LN-0000122,CUST-000306,Barbara Anderson,HELOC,Home Equity Line of Credit,SK,BR-006,2021-03-27,2031-02-03,232875.54,116239.28,6.7181,B,584,315847.69,36.8,G. Brown
LN-0000123,CUST-000880,Sandra Martinez,STUDENT,Student Loan,ON,BR-015,2021-02-02,2030-12-12,56513.48,31331.72,7.3675,BB,658,0,0,F. Kim
LN-0000124,CUST-001526,James Chen,STUDENT,Student Loan,BC,BR-011,2024-08-27,2034-07-06,30741.14,0,4.6748,BBB,686,0,0,D. Patel
LN-0000125,CUST-002033,James Rodriguez,PL-UNSEC,Unsecured Personal Loan,BC,BR-013,2023-07-19,2027-06-28,29290.66,11732.25,11.8493,BB,640,0,0,J. Taylor
LN-0000126,CUST-004117,Lisa Singh,MTG-FIX,Fixed Rate Mortgage,QC,BR-004,2025-06-04,2050-01-24,108005.01,105712.93,5.8074,CCC,530,156100.11,67.72,C. Williams
LN-0000127,CUST-001790,JESSICA KIM,AUTO,Auto Loan,NS,BR-025,2020-07-01,2026-05-31,41081.82,5420.38,7.0924,A,740,0,0,I. Lopez
LN-0000128,CUST-001228,Richard Hernandez,AUTO,Auto Loan,QC,BR-017,2023-01-21,2028-12-20,15076.68,7259.11,7.4746,BBB,704,0,0,D. Patel
LN-0000129,CUST-002525,Mary Wilson,HELOC,Home Equity Line of Credit,AB,BR-009,2024-09-21,2034-07-31,147507.74,116885.37,6.1391,BB,649,187795.82,62.24,B. Chen
LN-0000130,CUST-001475,William Nguyen,PL-UNSEC,Unsecured Personal Loan,QC,BR-021,2022-11-12,2026-10-22,25112.7,6253.99,12.0176,BBB,696,0,0,C. Williams
LN-0000131,CUST-002849,Linda Garcia,STUDENT,Student Loan,AB,BR-018,04/16/2023,2033-02-22,29669.54,20830.81,7.2099,A,751,0,0,A. Sharma
LN-0000132,CUST-002259,Joseph Das,MTG-VAR,Variable Rate Mortgage,ON,BR-024,2019-04-04,2043-11-24,687094.41,505155.29,5.926,CCC,549,1023747.84,49.34,G. Brown
LN-0000133,CUST-002005,Robert Wilson,PL-UNSEC,Unsecured Personal Loan,ON,BR-015,2019-03-06,2023-02-13,9941.99,963.17,8.9374,BBB,673,0,0,H. Singh
LN-0000134,CUST-001941,Lisa Ali,MTG-FIX,Fixed Rate Mortgage,ON,BR-005,2024-08-25,2049-04-16,795438.41,787937.84,4.9683,B,613,950987.8,82.85,H. Singh
LN-0000135,CUST-002822,Priya Santos,STUDENT,Student Loan,BC,BR-017,2025-03-30,2035-02-06,57168.61,56475.08,7.079,A,713,0,0,A. Sharma
LN-0000136,CUST-001099,Priya Davis,MTG-VAR,Variable Rate Mortgage,BC,BR-009,2025-01-12,2049-09-03,384111.29,340585.99,6.6987,AA,776,432204.81,78.8,F. Kim
LN-0000137,CUST-001778,Amara Miller,MTG-FIX,Fixed Rate Mortgage,AB,BR-011,2020-01-14,2044-09-04,474944.88,315211.09,6.1588,B,625,825310.01,38.19,D. Patel
LN-0000138,CUST-002319,Priya Thomas,MTG-VAR,Variable Rate Mortgage,SK,BR-018,2020-04-25,2044-12-15,548127.54,443173.16,6.5087,A,725,737496.06,60.09,E. Martin
LN-0000139,CUST-000375,Thomas Chen,AUTO,Auto Loan,ON,BR-005,2024-03-23,2030-02-20,16409.54,11709.92,8.9346,A,736,0,0,F. Kim
LN-0000140,CUST-002109,Raj Chen,MTG-FIX,Fixed Rate Mortgage,BC,BR-021,2022-04-24,2046-12-14,206687.99,165315.37,5.1597,BBB,730,261730.98,63.16,I. Lopez
LN-0000141,CUST-000609,Patricia Nguyen,PL-SEC,Secured Personal Loan,BC,BR-001,2020-07-27,2025-07-01,37414.11,3866.3,9.4416,BB,673,0,0,F. Kim
LN-0000142,CUST-003370,James Smith,HELOC,Home Equity Line of Credit,QC,BR-017,2019-02-07,2028-12-16,85147.91,24509.17,7.14,A,741,153279.88,15.99,F. Kim
LN-0000143,CUST-002068,Ashley Rodriguez,PL-SEC,Secured Personal Loan,BC,BR-013,2023-10-30,2028-10-03,41277.55,22540.82,11.5489,A,749,0,0,H. Singh
LN-0000144,CUST-003900,Patricia Patel,MTG-FIX,Fixed Rate Mortgage,NS,BR-001,2021-07-14,2046-03-05,309982.25,223437.42,6.1561,BBB,694,454513.2,49.16,F. Kim
LN-0000145,CUST-003896,Karen Johnson,PL-SEC,Secured Personal Loan,ON,BR-003,2022-09-18,2027-08-23,30463.55,10604.72,11.2898,BB,677,0,0,B. Chen
LN-0000146,CUST-001970,Priya Kim,PL-SEC,Secured Personal Loan,ON,BR-018,2021-01-04,2025-12-09,46794.49,4877.36,8.5724,BBB,680,0,0,F. Kim
LN-0000147,CUST-003250,Margaret Smith,MTG-VAR,Variable Rate Mortgage,QC,BR-021,2019-11-18,2044-07-09,400475.71,263737.76,6.9486,AA,799,523598.39,50.37,A. Sharma
